acceptable_count,acceptance_ratio,acceptance_ratio_ilp,chs_avg,chs_avg_b,chs_avg_p,chs_max_b,chs_max_p,cp_objective,diameter,h_count,ha_objective,hp_objective,hp_runtime,hp_type,latency_factor,max_length,network,request_processing_time,shortest_k,vSDN_count,vSDN_count_ilp,vSDN_coverage,vSDN_generator_seed,vSDN_max_size_ilp,vSDN_size
20,0.46511627906976705,,0,196,0,424,0,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
19,0.213483146067415,,0,228,0,424,0,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.0,16,89,0,1.0,123,0,3
2,0.02,,0,279,0,417,0,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
1,0.01,,0,292,0,424,0,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.01,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.75,heuristics,0.1,475,26_usa,0.02,16,100,0,0.000560622964237,123,0,13
19,0.441860465116279,,0,175,0,424,0,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
19,0.213483146067415,,0,244,0,424,0,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.0,16,89,0,1.0,123,0,3
3,0.03,,0,274,0,424,0,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.01,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.78,heuristics,0.1,475,26_usa,0.02,16,100,0,0.000560622964237,123,0,13
20,0.46511627906976705,,0,174,0,424,0,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
26,0.29213483146067404,,0,235,0,424,0,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.0,16,89,0,1.0,123,0,3
4,0.04,,0,268,0,424,0,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.49504950495049505,123,0,4
1,0.01,,0,292,0,424,0,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.0016611847569680002,123,0,11
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.01,16,100,0,0.0009226113591910001,123,0,12
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.77,heuristics,0.1,475,26_usa,0.02,16,100,0,0.000560622964237,123,0,13
19,0.441860465116279,,0,203,0,424,0,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.0,16,43,0,1.0,123,0,2
15,0.16853932584269601,,0,230,0,424,0,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.0,16,89,0,1.0,123,0,3
5,0.05,,0,276,0,424,0,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.0,16,100,0,0.49504950495049505,123,0,4
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.01,16,100,0,0.20491803278688503,123,0,5
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.01,16,100,0,0.08326394671107401,123,0,6
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.01,16,100,0,0.034542314335060005,123,0,7
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.01,16,100,0,0.014889815366289002,123,0,8
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.01,16,100,0,0.006741270055278001,123,0,9
0,0.0,,0,-1,-1,-1,-1,random,4759,26,avg cp length,hypervisor count,0.65,heuristics,0.1,475,26_usa,0.01,16,100,0,0.003235198964736,123,0,10
